Canon_SMILES,chembl_id,activity_type,value,units,assay_chembl_id,assay_description
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Kb,3.03,10'-4L/mol,CHEMBL3101488,Binding affinity to human serum albumin at pH 7.4 at 310 K by Scatchard method
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ka,2.98,10'-4L/mol,CHEMBL3101362,Binding affinity to human serum albumin at 298 K by molecular spectroscopic analysis in presence of Pb2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ka,2.95,10'-4L/mol,CHEMBL3101491,Binding affinity to human serum albumin at pH 7.4 at 310 K by modified Stern-Volmer method
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,1.324,,CHEMBL3101357,Ratio of binding affinity to human serum albumin in presence of K+ to binding affinity to human serum albumin absence of K+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,1.151,,CHEMBL3101358,Ratio of binding affinity to human serum albumin in presence of Fe3+ to binding affinity to human serum albumin absence of Fe3+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,1.068,,CHEMBL3101356,Ratio of binding affinity to human serum albumin in presence of Mg2+ to binding affinity to human serum albumin absence of Mg2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,0.959,,CHEMBL3101360,Ratio of binding affinity to human serum albumin in presence of Cu2+ to binding affinity to human serum albumin absence of Cu2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,0.918,,CHEMBL3101353,Ratio of binding affinity to human serum albumin in presence of Zn2+ to binding affinity to human serum albumin absence of Zn2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,0.887,,CHEMBL3101359,Ratio of binding affinity to human serum albumin in presence of Ca2+ to binding affinity to human serum albumin absence of Ca2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,0.835,,CHEMBL3101354,Ratio of binding affinity to human serum albumin in presence of Ni2+ to binding affinity to human serum albumin absence of Ni2+
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,CHEMBL3099077,Ratio,0.819,,CHEMBL3101355,Ratio of binding affinity to human serum albumin in presence of Pb2+ to binding affinity to human serum albumin absence of Pb2+
