Drug,Y
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3cc(OC)c(OC)c(OO)c3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(Br)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(C(F)(F)F)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(CN(C)C)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(CN4CCCCC4)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(CN4CCOCC4)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(Cl)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(F)cc3F)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(N(C)C)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(N4CCOCC4)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(OC)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(S(=O)(=O)C(F)(F)F)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(SC(F)(F)F)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc(SC)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccc([S+](C)[O-])cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3cccc(C(F)(F)F)c3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3cccc(O)c3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3cccc(OC)c3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3cccnc3)c2C)C1=O,79.0
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccncc3)c2C)C1=O,80.0
CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(Cc3ccc(C(F)(F)F)cc3)c2C)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2cc(CC)n(-c3ccccc3C(F)(F)F)c2CC)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2ccn(-c3ccc(C(F)(F)F)cc3)c2)C1=O,93.7
CCOC(=O)C1=C(C)N/C(=C/c2ccn(-c3ccccc3C(F)(F)F)c2)C1=O,93.7
CCOC(=O)C1=C(O)/C(=C\c2cc(C)n(-c3ccc(F)cc3)c2C)N=C1C,93.7
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N/C(C)=N/O)C1,26.7
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N/C(N)=N\O)C1,37.5
